start_date,end_date,results,news
2020-01-12,2020-01-13,5,"[('Se reporta manifestaciones en la avenida Caracas', 'TransMilenio informó que se presentaron dificultades en la operación debido a la manifestación.'), ('Policía responde por caso de agente que esposó a taquillera', 'Empleada de Recaudo trató de evitar el ingreso gratuito de agentes de civil, como dice el protocolo.'), ('Impresionante robo con fusiles, chalecos antibalas y un taxi destruido', 'Cuatro delincuentes asaltaron un restaurante de comida china y fueron perseguidos por la policía.'), ('Policías esposan a taquillera de TM por negar ingreso gratis a agentes', 'Estaban de civil. La norma indica que el libre ingreso se permite si están uniformados.'), ('Buscan a Thor, perro perdido en el centro de Bogotá', 'Se trata de un labrador amarillo de aproximadamente un año.')]"
2020-01-13,2020-01-14,8,"[('El insólito pasado del taxista que insultó a conductoras de Uber', ""Acosos, abusos, golpizas y protestas 'radicales': el historial de Freddy Contreras.""), ('Autoridades evaluaron nuevo video de policía que esposó a taquillera', 'Además, supuestos policías preguntaron por la mujer en la estación'), ('La noche de terror que se vivió en motín en estación de Policía', 'Todo comenzó por una pelea entre dos detenidos. Veedores denuncian hacinamiento.'), ('‘Mi hijo no es el mismo desde que sus compañeros lo golpearon’', 'Hay desconocimiento de planteles para activar los protocolos de ley en casos de agresión escolar.'), ('Se reporta manifestaciones en la avenida Caracas', 'TransMilenio informó que se presentaron dificultades en la operación debido a la manifestación.'), ('Policía responde por caso de agente que esposó a taquillera', 'Empleada de Recaudo trató de evitar el ingreso gratuito de agentes de civil, como dice el protocolo.'), ('Impresionante robo con fusiles, chalecos antibalas y un taxi destruido', 'Cuatro delincuentes asaltaron un restaurante de comida china y fueron perseguidos por la policía.'), ('Policías esposan a taquillera de TM por negar ingreso gratis a agentes', 'Estaban de civil. La norma indica que el libre ingreso se permite si están uniformados.')]"
2020-01-14,2020-01-15,9,"[('Hacinamiento superior al 50 % aqueja a las URI habilitadas en Bogotá', 'Secretario de Seguridad dice que la Alcaldía trabaja en un plan para aliviar la crisis que se vive.'), ('¿Lo ha visto? Ayúdenos a identificar a este delincuente', 'Cámaras de seguridad de la tienda T4 captó el momento exacto en el que el hombre asaltó el lugar.'), ('Policías asistieron trabajo de parto en Bogotá', 'El heroico suceso se registró en una vivienda de la localidad de Chapinero.'), ('Comunidad persiguió a ladrones en la troncal Caracas', 'Las imágenes de los supuestos delincuentes huyendo fueron captadas por una cámara de City Tv.'), ('Nuevas decisiones tras muerte de Dilan Cruz en protestas', 'La procuraduría pidió a la Policía suspensión inmediata del uso de escopeta calibre 12.'), ('El insólito pasado del taxista que insultó a conductoras de Uber', ""Acosos, abusos, golpizas y protestas 'radicales': el historial de Freddy Contreras.""), ('Autoridades evaluaron nuevo video de policía que esposó a taquillera', 'Además, supuestos policías preguntaron por la mujer en la estación'), ('La noche de terror que se vivió en motín en estación de Policía', 'Todo comenzó por una pelea entre dos detenidos. Veedores denuncian hacinamiento.'), ('‘Mi hijo no es el mismo desde que sus compañeros lo golpearon’', 'Hay desconocimiento de planteles para activar los protocolos de ley en casos de agresión escolar.')]"
2020-01-15,2020-01-16,13,"[('No para pesadilla de taquillera de TransMilenio esposada por policía', 'De confirmarse 2 comparendos que le impusieron, tendría que pagar el equivalente a $1’170.000 pesos.'), (""'Uno no sabe cuál es el precio de la guerra hasta que pone un muerto'"", 'Perfil de una de las víctimas del atentado del Eln en la Escuela de Cadetes General Santander.'), ('Las imágenes de las protestas de este jueves en Bogotá', 'Al final de la tarde, se presentaron desórdenes al frente de la U. Nacional.'), ('Tras intervención del Esmad se desbloquea la NQS en Bogotá', 'El sistema TransMilenio informa de estaciones cerradas y desvíos.'), ('‘Solo en hechos extraordinarios se usará Esmad durante protestas’', 'La alcaldesa de la ciudad explica cómo se prepara el Distrito para atender las movilizaciones.'), ('Las seis cosas que debe saber del nuevo protocolo para las protestas', 'La alcaldesa de Bogotá, Claudia López, cambió la manera en la que se atenderán las marchas.'), ('Taxista involucrado en accidente con motos estaría ebrio', 'En el incidente, ocurrido en el noroccidente de Bogotá, murió una persona.'), ('Hortalizas eran regadas con agua del río Bogotá de forma ilegal', 'Motobomba es hallada captando aguas del río Bogotá para el riego de cultivo de hortalizas.'), ('Hacinamiento superior al 50 % aqueja a las URI habilitadas en Bogotá', 'Secretario de Seguridad dice que la Alcaldía trabaja en un plan para aliviar la crisis que se vive.'), ('¿Lo ha visto? Ayúdenos a identificar a este delincuente', 'Cámaras de seguridad de la tienda T4 captó el momento exacto en el que el hombre asaltó el lugar.'), ('Policías asistieron trabajo de parto en Bogotá', 'El heroico suceso se registró en una vivienda de la localidad de Chapinero.'), ('Comunidad persiguió a ladrones en la troncal Caracas', 'Las imágenes de los supuestos delincuentes huyendo fueron captadas por una cámara de City Tv.'), ('Nuevas decisiones tras muerte de Dilan Cruz en protestas', 'La procuraduría pidió a la Policía suspensión inmediata del uso de escopeta calibre 12.')]"
2020-01-16,2020-01-17,16,"[('Ladrones usaron gas pimienta para reducir a sus víctimas en Bogotá', 'El caso, que ocurrió en Prado Veraniego, en el norte de la ciudad, ya está en manos de la Policía.'), ('Tres miradas de la aplicación del protocolo para la protesta social', 'Luis Ernesto Gómez, Daniel Mejía y Andres Nieto hablan de la primera experiencia de la alcaldesa.'), (""'Tuve la esperanza de que mi hermano se hubiera escapado, pero no'"", 'Crónica de la vida de los Manjarrez desde la muerte del joven cadete'), ('Conmemoraciones por el primer año del atentado a la Escuela de cadetes', 'Las mágenes de la ceremonia en la Escuela General Santander, donde ocurrió la tragedia en 2019.'), ('Polémico video de policía que habría insultado a Claudia López', 'Por redes circula un clip en el que un uniformado habría dicho una ofensa contra la alcaldesa.'), ('Recuperan más de 30 celulares robados que iban a ser comercializados', 'La Policía allanó ocho establecimientos comerciales y una vivienda en Engativá y Los Mártires.'), ('Alcaldesa Claudia López estrenó su protocolo para las marchas', 'Protocolo de seguridad para marchas en Bogotá'), ('Tras persecución, Policía capturó a asaltantes de bus del Sitp', 'Cuatro hombres, entre ellos dos menores de edad, acababan de atracar a 9 pasajeros.'), ('No para pesadilla de taquillera de TransMilenio esposada por policía', 'De confirmarse 2 comparendos que le impusieron, tendría que pagar el equivalente a $1’170.000 pesos.'), (""'Uno no sabe cuál es el precio de la guerra hasta que pone un muerto'"", 'Perfil de una de las víctimas del atentado del Eln en la Escuela de Cadetes General Santander.'), ('Las imágenes de las protestas de este jueves en Bogotá', 'Al final de la tarde, se presentaron desórdenes al frente de la U. Nacional.'), ('Tras intervención del Esmad se desbloquea la NQS en Bogotá', 'El sistema TransMilenio informa de estaciones cerradas y desvíos.'), ('‘Solo en hechos extraordinarios se usará Esmad durante protestas’', 'La alcaldesa de la ciudad explica cómo se prepara el Distrito para atender las movilizaciones.'), ('Las seis cosas que debe saber del nuevo protocolo para las protestas', 'La alcaldesa de Bogotá, Claudia López, cambió la manera en la que se atenderán las marchas.'), ('Taxista involucrado en accidente con motos estaría ebrio', 'En el incidente, ocurrido en el noroccidente de Bogotá, murió una persona.'), ('Hortalizas eran regadas con agua del río Bogotá de forma ilegal', 'Motobomba es hallada captando aguas del río Bogotá para el riego de cultivo de hortalizas.')]"
2020-01-17,2020-01-18,13,"[('28 heridos por accidente de bus sin frenos que arrolló a dos vehículos', 'El incidente se presentó en la noche de este sábado en perímetro urbano de La Vega, Cundinamarca.'), ('Los más recientes nombramientos de la alcaldesa Claudia López', 'Se conocieron los nombres del director de Protección Animal, Catastro, Dadep y del Idep.'), ('Primer consejo de seguridad con nuevo comandante de Policía de Bogotá', 'El general Óscar Gómez Heredia será oficializado como nuevo comandante de la Mebog.'), ('Claudia López usó el Esmad, pero insistirá en el diálogo', 'El jueves hubo cinco protestas y en cuatro de ellas funcionó la vía de la concertación.'), ('Lo urgente y lo importante para Bogotá en materia de movilidad', 'Las decisiones de la nueva alcaldesa podrían afectar su gobernabilidad y la calidad de vida de millones.'), ('Ladrones usaron gas pimienta para reducir a sus víctimas en Bogotá', 'El caso, que ocurrió en Prado Veraniego, en el norte de la ciudad, ya está en manos de la Policía.'), ('Tres miradas de la aplicación del protocolo para la protesta social', 'Luis Ernesto Gómez, Daniel Mejía y Andres Nieto hablan de la primera experiencia de la alcaldesa.'), (""'Tuve la esperanza de que mi hermano se hubiera escapado, pero no'"", 'Crónica de la vida de los Manjarrez desde la muerte del joven cadete'), ('Conmemoraciones por el primer año del atentado a la Escuela de cadetes', 'Las mágenes de la ceremonia en la Escuela General Santander, donde ocurrió la tragedia en 2019.'), ('Polémico video de policía que habría insultado a Claudia López', 'Por redes circula un clip en el que un uniformado habría dicho una ofensa contra la alcaldesa.'), ('Recuperan más de 30 celulares robados que iban a ser comercializados', 'La Policía allanó ocho establecimientos comerciales y una vivienda en Engativá y Los Mártires.'), ('Alcaldesa Claudia López estrenó su protocolo para las marchas', 'Protocolo de seguridad para marchas en Bogotá'), ('Tras persecución, Policía capturó a asaltantes de bus del Sitp', 'Cuatro hombres, entre ellos dos menores de edad, acababan de atracar a 9 pasajeros.')]"
2020-01-18,2020-01-19,6,"[('¿Quiénes son y qué papel tendrán las madres gestoras en las marchas?', 'Estas mujeres, más de 120, que acompañarán las protestas en la ciudad, hablaron con EL TIEMPO.'), ('28 heridos por accidente de bus sin frenos que arrolló a dos vehículos', 'El incidente se presentó en la noche de este sábado en perímetro urbano de La Vega, Cundinamarca.'), ('Los más recientes nombramientos de la alcaldesa Claudia López', 'Se conocieron los nombres del director de Protección Animal, Catastro, Dadep y del Idep.'), ('Primer consejo de seguridad con nuevo comandante de Policía de Bogotá', 'El general Óscar Gómez Heredia será oficializado como nuevo comandante de la Mebog.'), ('Claudia López usó el Esmad, pero insistirá en el diálogo', 'El jueves hubo cinco protestas y en cuatro de ellas funcionó la vía de la concertación.'), ('Lo urgente y lo importante para Bogotá en materia de movilidad', 'Las decisiones de la nueva alcaldesa podrían afectar su gobernabilidad y la calidad de vida de millones.')]"
2020-01-19,2020-01-20,7,"[('Rechazan muerte de Zeus, el perro que murió a manos de dos policías', 'Comunidad en Bosa realizó un plantón para exigir justicia y claridad en las investigaciones.'), ('Nuevas medidas de la Policía para combatir la inseguridad en Bogotá', 'Tras el Consejo de Seguridad, la alcaldesa Claudia López reveló cuáles serán las nuevas medidas.'), ('¡Ojo! Estos son los sitios y horarios de las protestas en Bogotá', 'Marchas en Bogotá: consulte los horarios del cacerolazo, los puntos de concentración y la movilidad de las manifestaciones del 21 de enero'), ('Cae banda que robaba motos y exigía dinero para devolverlas', 'El Gaula de la Policía de Bogotá capturó a tres personas que se dedicaban a esto.'), ('Intento de fuga masiva en la estación de policía de Rafael Uribe Uribe', 'Internos denuncian problemas de hacinamiento.'), ('Así enfrentó el dueño de un bar en Teusaquillo a tres hombres armados', 'El propietario del lugar activó la alarma y forcejeó con uno de los delincuentes.'), ('¿Quiénes son y qué papel tendrán las madres gestoras en las marchas?', 'Estas mujeres, más de 120, que acompañarán las protestas en la ciudad, hablaron con EL TIEMPO.')]"
2020-01-20,2020-01-21,12,"[('Empresa mexicana sale al ruedo en la plaza de toros de Santamaría', 'Entre el 2 de febrero y el 1° de marzo se darán 5 corridas y 1 novillada en esta plaza de toros.'), ('Planee su regreso a casa: estas son las vías y estaciones afectadas', 'Consulte aquí el estado de la movilidad hoy en Bogotá y de TransMilenio'), ('Solo en cuatro ocasiones intervino el Esmad en marchas en Bogotá', 'En Suba, en Banderas, en la calle 72 con Caracas y en la avenida Jiménez no funcionó el diálogo.'), ('Conductores de Uber también protestan en el paro nacional', 'Hubo un plantón frente al Ministerio de Transporte, sobre la avenida La Esperanza.'), ('Video que circula sobre intento de robo de transmilenio no es de hoy', 'El material se hizo viral en redes sociales en el marco de la nueva jornada de protestas.'), ('Murió persona que saltó por una puerta de estación de TransMilenio', 'Los hechos se habrían presentado en la mañana del 21 de enero.'), ('Rechazan muerte de Zeus, el perro que murió a manos de dos policías', 'Comunidad en Bosa realizó un plantón para exigir justicia y claridad en las investigaciones.'), ('Nuevas medidas de la Policía para combatir la inseguridad en Bogotá', 'Tras el Consejo de Seguridad, la alcaldesa Claudia López reveló cuáles serán las nuevas medidas.'), ('¡Ojo! Estos son los sitios y horarios de las protestas en Bogotá', 'Marchas en Bogotá: consulte los horarios del cacerolazo, los puntos de concentración y la movilidad de las manifestaciones del 21 de enero'), ('Cae banda que robaba motos y exigía dinero para devolverlas', 'El Gaula de la Policía de Bogotá capturó a tres personas que se dedicaban a esto.'), ('Intento de fuga masiva en la estación de policía de Rafael Uribe Uribe', 'Internos denuncian problemas de hacinamiento.'), ('Así enfrentó el dueño de un bar en Teusaquillo a tres hombres armados', 'El propietario del lugar activó la alarma y forcejeó con uno de los delincuentes.')]"
2020-01-21,2020-01-22,13,"[('Las lecciones que dejó el protocolo en las marchas', 'Onu dice que vandalismo desvía la atención de reclamos en las protestas.'), ('Investigan causas de accidente que dejó 34 heridos en El Rosal', 'Un bus y un camión tipo volqueta se estrellaron. Fue en el kilómetro 18.'), ('Los cuestionamientos de la Personería al protocolo de Claudia López', 'Carmen Castañeda evaluó los resultados de la estrategia de la Alcaldía en las marchas del martes.'), ('Los destrozos que dejaron los vándalos tras las marchas en Bogotá', ""Las manifestaciones de la jornada de protestas denominada como '21E' tuvo episodios lamentables.""), ('Lo positivo y lo negativo de la jornada de protestas en Bogotá', 'Actos artísticos y de cultura ciudadana opacados por violencia de encapuchados dividen opiniones.'), ('Las duras imágenes que deja el incendio en el barrio El Dorado', 'Varias viviendas quedaron destruidas. Familias piden ayuda.'), (""'La ciudad no vio al Esmad agrediendo a civiles': Claudia López"", 'Marchas en Colombia hoy 21 de enero, siga en vivo las marchas en las principales ciudades del país'), ('Empresa mexicana sale al ruedo en la plaza de toros de Santamaría', 'Entre el 2 de febrero y el 1° de marzo se darán 5 corridas y 1 novillada en esta plaza de toros.'), ('Planee su regreso a casa: estas son las vías y estaciones afectadas', 'Consulte aquí el estado de la movilidad hoy en Bogotá y de TransMilenio'), ('Solo en cuatro ocasiones intervino el Esmad en marchas en Bogotá', 'En Suba, en Banderas, en la calle 72 con Caracas y en la avenida Jiménez no funcionó el diálogo.'), ('Conductores de Uber también protestan en el paro nacional', 'Hubo un plantón frente al Ministerio de Transporte, sobre la avenida La Esperanza.'), ('Video que circula sobre intento de robo de transmilenio no es de hoy', 'El material se hizo viral en redes sociales en el marco de la nueva jornada de protestas.'), ('Murió persona que saltó por una puerta de estación de TransMilenio', 'Los hechos se habrían presentado en la mañana del 21 de enero.')]"
