date,trends
2020-01-12,60.39
2020-01-13,93.06
2020-01-14,99.0
2020-01-15,99.0
2020-01-16,86.13
2020-01-17,84.15
2020-01-18,58.41
2020-01-19,37.31
2020-01-20,82.81
2020-01-21,78.26
2020-01-22,76.44
2020-01-23,81.9
2020-01-24,69.16
2020-01-25,51.87
2020-01-26,37.6
2020-01-27,58.4
2020-01-28,62.4
2020-01-29,61.6
2020-01-30,60.0
2020-01-31,56.8
2020-02-01,43.2
2020-02-02,45.76
2020-02-03,67.76
2020-02-04,73.92
2020-02-05,65.12
2020-02-06,80.96
2020-02-07,69.52
2020-02-08,47.52
2020-02-09,40.5
2020-02-10,67.23
2020-02-11,59.13
2020-02-12,59.94
2020-02-13,59.94
2020-02-14,63.99
2020-02-15,44.55
2020-02-16,42.63
2020-02-17,80.04
2020-02-18,72.21
2020-02-19,65.25
2020-02-20,68.73
2020-02-21,73.95
2020-02-22,45.24
2020-02-23,40.18
2020-02-24,66.42
2020-02-25,58.22
2020-02-26,61.5
2020-02-27,61.5
2020-02-28,74.62
2020-02-29,46.74
2020-03-01,39.0
2020-03-02,56.16
2020-03-03,56.16
2020-03-04,60.06
2020-03-05,55.38
2020-03-06,51.48
2020-03-07,37.44
2020-03-08,33.12
2020-03-09,45.36
2020-03-10,48.24
2020-03-11,56.16
2020-03-12,46.8
2020-03-13,45.36
2020-03-14,38.88
2020-03-15,29.61
2020-03-16,44.1
2020-03-17,44.73
2020-03-18,36.54
2020-03-19,32.76
2020-03-20,26.46
2020-03-21,23.31
2020-03-22,24.38
2020-03-23,23.32
2020-03-24,28.09
2020-03-25,26.5
2020-03-26,23.85
2020-03-27,24.91
2020-03-28,19.08
2020-03-29,19.11
2020-03-30,21.07
2020-03-31,20.58
2020-04-01,22.54
2020-04-02,22.54
2020-04-03,24.01
2020-04-04,19.6
2020-04-05,19.25
2020-04-06,30.8
2020-04-07,28.6
2020-04-08,27.5
2020-04-09,26.4
2020-04-10,23.1
2020-04-11,24.2
2020-04-12,25.65
2020-04-13,28.5
2020-04-14,27.93
2020-04-15,25.65
2020-04-16,29.64
2020-04-17,29.64
2020-04-18,25.08
2020-04-19,32.48
2020-04-20,26.88
2020-04-21,27.44
2020-04-22,25.76
2020-04-23,28.56
2020-04-24,27.44
2020-04-25,25.2
2020-04-26,24.84
2020-04-27,25.92
2020-04-28,26.46
2020-04-29,25.92
2020-04-30,23.76
2020-05-01,27.54
2020-05-02,23.22
2020-05-03,27.26
2020-05-04,27.26
2020-05-05,30.16
2020-05-06,29.58
2020-05-07,30.16
2020-05-08,29.0
2020-05-09,30.74
2020-05-10,28.52
2020-05-11,34.72
2020-05-12,33.48
2020-05-13,35.34
2020-05-14,33.48
2020-05-15,36.58
2020-05-16,27.9
2020-05-17,27.73
2020-05-18,27.73
2020-05-19,29.5
2020-05-20,31.86
2020-05-21,36.58
2020-05-22,29.5
2020-05-23,30.68
2020-05-24,29.44
2020-05-25,30.08
2020-05-26,38.4
2020-05-27,32.64
2020-05-28,38.4
2020-05-29,41.6
2020-05-30,35.2
2020-05-31,39.33
2020-06-01,44.85
2020-06-02,44.16
2020-06-03,42.09
2020-06-04,38.64
2020-06-05,37.95
2020-06-06,29.67
2020-06-07,34.0
2020-06-08,41.48
2020-06-09,42.16
2020-06-10,43.52
2020-06-11,42.84
2020-06-12,38.08
2020-06-13,38.76
2020-06-14,26.55
2020-06-15,27.73
2020-06-16,31.86
2020-06-17,34.81
2020-06-18,33.04
2020-06-19,27.73
2020-06-20,24.78
2020-06-21,27.3
2020-06-22,33.6
2020-06-23,47.6
2020-06-24,49.0
2020-06-25,51.1
2020-06-26,44.8
2020-06-27,37.1
2020-06-28,38.16
2020-06-29,39.6
2020-06-30,49.68
2020-07-01,59.04
2020-07-02,51.84
2020-07-03,41.04
2020-07-04,35.28
2020-07-05,26.66
2020-07-06,32.86
2020-07-07,37.2
2020-07-08,33.48
2020-07-09,37.2
2020-07-10,32.86
2020-07-11,24.8
2020-07-12,22.75
2020-07-13,27.3
2020-07-14,26.0
2020-07-15,22.75
2020-07-16,24.7
2020-07-17,24.7
2020-07-18,25.35
