date,trends
2020-01-12,0.0
2020-01-13,14.8
2020-01-14,19.98
2020-01-15,17.39
2020-01-16,13.69
2020-01-17,13.32
2020-01-18,12.58
2020-01-19,6.93
2020-01-20,24.75
2020-01-21,14.85
2020-01-22,0.0
2020-01-23,17.16
2020-01-24,23.43
2020-01-25,24.75
2020-01-26,19.04
2020-01-27,20.06
2020-01-28,9.18
2020-01-29,13.6
2020-01-30,17.34
2020-01-31,7.14
2020-02-01,0.0
2020-02-02,7.02
2020-02-03,5.07
2020-02-04,0.0
2020-02-05,20.28
2020-02-06,15.6
2020-02-07,15.21
2020-02-08,28.08
2020-02-09,9.88
2020-02-10,25.46
2020-02-11,19.76
2020-02-12,13.68
2020-02-13,23.94
2020-02-14,5.7
2020-02-15,30.02
2020-02-16,19.2
2020-02-17,17.92
2020-02-18,19.2
2020-02-19,7.36
2020-02-20,8.96
2020-02-21,12.48
2020-02-22,5.12
2020-02-23,18.48
2020-02-24,13.86
2020-02-25,14.85
2020-02-26,13.53
2020-02-27,12.54
2020-02-28,9.57
2020-02-29,12.87
2020-03-01,26.88
2020-03-02,25.44
2020-03-03,24.48
2020-03-04,10.56
2020-03-05,24.0
2020-03-06,27.84
2020-03-07,31.68
2020-03-08,0.0
2020-03-09,11.48
2020-03-10,15.68
2020-03-11,11.48
2020-03-12,7.28
2020-03-13,14.84
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,8.25
2020-03-17,23.1
2020-03-18,15.51
2020-03-19,3.63
2020-03-20,14.52
2020-03-21,13.86
2020-03-22,9.84
2020-03-23,18.45
2020-03-24,16.4
2020-03-25,37.72
2020-03-26,29.11
2020-03-27,25.01
2020-03-28,30.34
2020-03-29,10.64
2020-03-30,16.72
2020-03-31,18.24
2020-04-01,16.34
2020-04-02,15.2
2020-04-03,19.0
2020-04-04,11.02
2020-04-05,13.65
2020-04-06,21.06
2020-04-07,14.04
2020-04-08,16.77
2020-04-09,5.46
2020-04-10,0.0
2020-04-11,6.63
2020-04-12,7.79
2020-04-13,22.96
2020-04-14,16.4
2020-04-15,22.96
2020-04-16,18.45
2020-04-17,25.83
2020-04-18,20.91
2020-04-19,15.12
2020-04-20,13.68
2020-04-21,16.92
2020-04-22,14.76
2020-04-23,23.4
2020-04-24,12.6
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,13.65
2020-04-28,11.31
2020-04-29,15.6
2020-04-30,11.31
2020-05-01,25.74
2020-05-02,35.1
2020-05-03,23.4
2020-05-04,26.52
2020-05-05,34.32
2020-05-06,28.08
2020-05-07,41.08
2020-05-08,28.08
2020-05-09,30.16
2020-05-10,20.74
2020-05-11,15.64
2020-05-12,25.16
2020-05-13,13.94
2020-05-14,9.18
2020-05-15,7.82
2020-05-16,0.0
2020-05-17,34.03
2020-05-18,25.83
2020-05-19,15.58
2020-05-20,16.81
2020-05-21,21.73
2020-05-22,12.71
2020-05-23,7.79
2020-05-24,27.0
2020-05-25,5.85
2020-05-26,20.7
2020-05-27,23.85
2020-05-28,26.1
2020-05-29,5.85
2020-05-30,33.3
2020-05-31,37.63
2020-06-01,28.62
2020-06-02,0.0
2020-06-03,42.93
2020-06-04,17.49
2020-06-05,46.11
2020-06-06,33.39
2020-06-07,17.28
2020-06-08,34.56
2020-06-09,19.68
2020-06-10,16.32
2020-06-11,29.28
2020-06-12,23.52
2020-06-13,29.76
2020-06-14,17.48
2020-06-15,23.94
2020-06-16,18.24
2020-06-17,24.32
2020-06-18,15.2
2020-06-19,7.6
2020-06-20,11.02
2020-06-21,9.92
2020-06-22,23.56
2020-06-23,21.08
2020-06-24,51.46
2020-06-25,50.22
2020-06-26,49.6
2020-06-27,56.42
2020-06-28,28.05
2020-06-29,24.99
2020-06-30,41.82
2020-07-01,36.72
2020-07-02,28.56
2020-07-03,30.6
2020-07-04,22.44
2020-07-05,30.25
2020-07-06,33.55
2020-07-07,12.1
2020-07-08,55.0
2020-07-09,30.8
2020-07-10,42.9
2020-07-11,12.65
2020-07-12,20.24
2020-07-13,16.56
2020-07-14,0.0
2020-07-15,9.66
2020-07-16,11.5
2020-07-17,12.88
2020-07-18,10.58
2020-07-19,0.0
2020-07-20,17.01
2020-07-21,16.38
2020-07-22,23.31
2020-07-23,27.09
2020-07-24,23.31
2020-07-25,29.61
2020-07-26,17.82
2020-07-27,18.9
2020-07-28,18.36
2020-07-29,17.82
2020-07-30,14.58
2020-07-31,30.78
2020-08-01,17.82
2020-08-02,15.18
2020-08-03,10.12
2020-08-04,4.14
2020-08-05,7.36
2020-08-06,5.06
2020-08-07,16.56
2020-08-08,8.74
2020-08-09,19.8
2020-08-10,9.9
2020-08-11,17.1
2020-08-12,8.55
2020-08-13,19.8
2020-08-14,6.3
2020-08-15,9.45
2020-08-16,17.28
2020-08-17,12.96
2020-08-18,11.34
2020-08-19,21.06
2020-08-20,20.52
2020-08-21,22.14
2020-08-22,12.96
2020-08-23,7.2
2020-08-24,13.44
2020-08-25,24.96
2020-08-26,11.04
2020-08-27,7.68
2020-08-28,5.28
2020-08-29,7.2
2020-08-30,18.9
2020-08-31,9.45
2020-09-01,19.35
2020-09-02,10.35
2020-09-03,11.7
2020-09-04,10.35
2020-09-05,8.1
2020-09-06,17.25
2020-09-07,23.46
2020-09-08,29.67
2020-09-09,13.8
2020-09-10,30.36
2020-09-11,26.22
2020-09-12,40.71
2020-09-13,37.8
2020-09-14,30.8
2020-09-15,28.7
2020-09-16,36.4
2020-09-17,30.1
2020-09-18,21.0
2020-09-19,21.0
2020-09-20,8.52
2020-09-21,33.37
2020-09-22,22.01
2020-09-23,39.05
2020-09-24,25.56
