date,trends
2020-01-12,14.0
2020-01-13,20.0
2020-01-14,12.4
2020-01-15,15.2
2020-01-16,18.8
2020-01-17,23.2
2020-01-18,19.2
2020-01-19,22.44
2020-01-20,21.56
2020-01-21,24.64
2020-01-22,18.04
2020-01-23,20.24
2020-01-24,20.68
2020-01-25,17.16
2020-01-26,27.88
2020-01-27,24.19
2020-01-28,19.27
2020-01-29,20.5
2020-01-30,11.89
2020-01-31,17.22
2020-02-01,13.12
2020-02-02,20.16
2020-02-03,18.0
2020-02-04,10.44
2020-02-05,16.2
2020-02-06,13.68
2020-02-07,15.48
2020-02-08,18.36
2020-02-09,20.8
2020-02-10,21.6
2020-02-11,18.4
2020-02-12,10.8
2020-02-13,18.0
2020-02-14,15.2
2020-02-15,20.4
2020-02-16,15.58
2020-02-17,20.91
2020-02-18,22.96
2020-02-19,20.5
2020-02-20,20.91
2020-02-21,17.22
2020-02-22,12.71
2020-02-23,14.82
2020-02-24,15.6
2020-02-25,17.94
2020-02-26,18.33
2020-02-27,19.89
2020-02-28,14.04
2020-02-29,14.82
2020-03-01,20.68
2020-03-02,28.16
2020-03-03,22.44
2020-03-04,22.0
2020-03-05,18.92
2020-03-06,18.48
2020-03-07,23.32
2020-03-08,12.92
2020-03-09,12.24
2020-03-10,12.24
2020-03-11,14.28
2020-03-12,9.52
2020-03-13,15.64
2020-03-14,11.56
2020-03-15,5.07
2020-03-16,17.94
2020-03-17,13.26
2020-03-18,22.62
2020-03-19,12.87
2020-03-20,16.77
2020-03-21,23.4
2020-03-22,24.99
2020-03-23,35.19
2020-03-24,23.97
2020-03-25,36.72
2020-03-26,29.58
2020-03-27,22.95
2020-03-28,27.03
2020-03-29,31.68
2020-03-30,38.88
2020-03-31,21.12
2020-04-01,26.88
2020-04-02,22.08
2020-04-03,28.32
2020-04-04,20.64
2020-04-05,28.42
2020-04-06,37.73
2020-04-07,17.15
2020-04-08,27.44
2020-04-09,26.46
2020-04-10,29.4
2020-04-11,25.48
2020-04-12,31.0
2020-04-13,31.0
2020-04-14,25.5
2020-04-15,25.5
2020-04-16,25.5
2020-04-17,35.5
2020-04-18,36.5
2020-04-19,49.82
2020-04-20,32.86
2020-04-21,26.5
2020-04-22,26.5
2020-04-23,39.22
2020-04-24,29.68
2020-04-25,25.44
2020-04-26,27.28
2020-04-27,24.64
2020-04-28,18.48
2020-04-29,21.56
2020-04-30,18.48
2020-05-01,27.72
2020-05-02,33.0
2020-05-03,38.34
2020-05-04,32.4
2020-05-05,33.48
2020-05-06,28.62
2020-05-07,33.48
2020-05-08,29.16
2020-05-09,29.7
2020-05-10,30.5
2020-05-11,34.0
2020-05-12,33.5
2020-05-13,32.0
2020-05-14,26.5
2020-05-15,27.0
2020-05-16,19.5
2020-05-17,45.92
2020-05-18,35.84
2020-05-19,28.0
2020-05-20,30.8
2020-05-21,50.96
2020-05-22,29.12
2020-05-23,28.0
2020-05-24,40.6
2020-05-25,35.96
2020-05-26,32.48
2020-05-27,36.54
2020-05-28,37.7
2020-05-29,34.22
2020-05-30,51.62
2020-05-31,66.93
2020-06-01,51.75
2020-06-02,44.16
2020-06-03,59.34
2020-06-04,48.99
2020-06-05,54.51
2020-06-06,42.78
2020-06-07,53.12
2020-06-08,46.08
2020-06-09,45.44
2020-06-10,48.64
2020-06-11,46.08
2020-06-12,42.88
2020-06-13,55.04
2020-06-14,26.79
2020-06-15,24.44
2020-06-16,29.14
2020-06-17,26.32
2020-06-18,35.72
2020-06-19,24.44
2020-06-20,16.45
2020-06-21,62.0
2020-06-22,37.82
2020-06-23,35.96
2020-06-24,53.94
2020-06-25,48.36
2020-06-26,38.44
2020-06-27,44.02
2020-06-28,42.6
2020-06-29,42.0
2020-06-30,44.4
2020-07-01,45.6
2020-07-02,50.4
2020-07-03,36.0
2020-07-04,31.2
2020-07-05,44.66
2020-07-06,41.76
2020-07-07,24.94
2020-07-08,31.32
2020-07-09,38.28
2020-07-10,49.88
2020-07-11,35.96
2020-07-12,25.52
2020-07-13,20.88
2020-07-14,11.02
2020-07-15,13.34
2020-07-16,15.66
2020-07-17,20.3
2020-07-18,22.62
2020-07-19,20.46
2020-07-20,24.18
2020-07-21,17.36
2020-07-22,18.6
2020-07-23,22.32
2020-07-24,21.7
2020-07-25,23.56
2020-07-26,20.4
2020-07-27,22.2
2020-07-28,21.0
2020-07-29,19.2
2020-07-30,17.4
2020-07-31,20.4
2020-08-01,23.4
2020-08-02,21.42
2020-08-03,15.81
2020-08-04,12.75
2020-08-05,13.77
2020-08-06,13.77
2020-08-07,15.3
2020-08-08,19.89
2020-08-09,19.04
2020-08-10,17.36
2020-08-11,19.6
2020-08-12,12.32
2020-08-13,21.28
2020-08-14,12.32
2020-08-15,14.56
2020-08-16,20.74
2020-08-17,25.01
2020-08-18,18.3
2020-08-19,25.01
2020-08-20,21.35
2020-08-21,17.08
2020-08-22,18.3
2020-08-23,14.28
2020-08-24,16.32
2020-08-25,20.4
2020-08-26,12.75
2020-08-27,13.77
