date,trends
2020-01-12,27
2020-01-13,32
2020-01-14,43
2020-01-15,28
2020-01-16,44
2020-01-17,0
2020-01-18,63
2020-01-19,53
2020-01-20,45
2020-01-21,65
2020-01-22,38
2020-01-23,45
2020-01-24,44
2020-01-25,91
2020-01-26,16
2020-01-27,0
2020-01-28,38
2020-01-29,25
2020-01-30,57
2020-01-31,28
2020-02-01,20
2020-02-02,0
2020-02-03,52
2020-02-04,44
2020-02-05,44
2020-02-06,53
2020-02-07,26
2020-02-08,57
2020-02-09,73
2020-02-10,67
2020-02-11,38
2020-02-12,12
2020-02-13,45
2020-02-14,30
2020-02-15,76
2020-02-16,0
2020-02-17,31
2020-02-18,69
2020-02-19,18
2020-02-20,44
2020-02-21,19
2020-02-22,0
2020-02-23,49
2020-02-24,27
2020-02-25,40
2020-02-26,23
2020-02-27,33
2020-02-28,39
2020-02-29,50
2020-03-01,0
2020-03-02,42
2020-03-03,34
2020-03-04,44
2020-03-05,55
2020-03-06,50
2020-03-07,52
2020-03-08,0
2020-03-09,25
2020-03-10,50
2020-03-11,47
2020-03-12,17
2020-03-13,36
2020-03-14,34
2020-03-15,35
2020-03-16,23
2020-03-17,48
2020-03-18,52
2020-03-19,33
2020-03-20,30
2020-03-21,34
2020-03-22,32
2020-03-23,53
2020-03-24,24
2020-03-25,67
2020-03-26,53
2020-03-27,42
2020-03-28,48
2020-03-29,30
2020-03-30,56
2020-03-31,18
2020-04-01,57
2020-04-02,72
2020-04-03,49
2020-04-04,16
2020-04-05,48
2020-04-06,57
2020-04-07,30
2020-04-08,34
2020-04-09,59
2020-04-10,22
2020-04-11,40
2020-04-12,16
2020-04-13,37
2020-04-14,33
2020-04-15,54
2020-04-16,27
2020-04-17,46
2020-04-18,19
2020-04-19,35
2020-04-20,29
2020-04-21,49
2020-04-22,51
2020-04-23,70
2020-04-24,40
2020-04-25,11
2020-04-26,34
2020-04-27,25
2020-04-28,57
2020-04-29,27
2020-04-30,32
2020-05-01,50
2020-05-02,57
2020-05-03,38
2020-05-04,27
2020-05-05,83
2020-05-06,51
2020-05-07,64
2020-05-08,31
2020-05-09,57
2020-05-10,45
2020-05-11,47
2020-05-12,67
2020-05-13,52
2020-05-14,34
2020-05-15,20
2020-05-16,26
2020-05-17,69
2020-05-18,50
2020-05-19,29
2020-05-20,0
2020-05-21,56
2020-05-22,37
2020-05-23,32
2020-05-24,33
2020-05-25,42
2020-05-26,50
2020-05-27,52
2020-05-28,39
2020-05-29,22
2020-05-30,100
2020-05-31,40
2020-06-01,41
2020-06-02,26
2020-06-03,36
2020-06-04,41
2020-06-05,49
2020-06-06,46
2020-06-07,76
2020-06-08,49
2020-06-09,20
2020-06-10,50
2020-06-11,80
2020-06-12,30
2020-06-13,79
2020-06-14,42
2020-06-15,49
2020-06-16,40
2020-06-17,57
2020-06-18,47
2020-06-19,25
2020-06-20,51
2020-06-21,62
2020-06-22,49
2020-06-23,34
2020-06-24,94
2020-06-25,88
2020-06-26,57
2020-06-27,49
2020-06-28,47
2020-06-29,36
2020-06-30,82
2020-07-01,73
2020-07-02,12
2020-07-03,61
2020-07-04,19
2020-07-05,29
2020-07-06,47
2020-07-07,39
2020-07-08,69
2020-07-09,60
2020-07-10,67
2020-07-11,0
